zone_id,date,business_density,retail_count
Z001,2025-01-01,116.97569684401469,95.0
Z001,2025-01-02,212.17631410384408,83.0
Z001,2025-01-03,383.33457480829105,176.0
Z001,2025-01-04,292.52031918956743,46.0
Z001,2025-01-05,301.44374460016206,153.0
Z001,2025-01-06,289.68464609129194,168.0
Z001,2025-01-07,159.69764168783104,90.0
Z001,2025-01-08,225.50015923068403,126.0
Z001,2025-01-09,325.2819395089955,188.0
Z001,2025-01-10,130.41186926594776,152.0
Z001,2025-01-11,183.35583282691368,162.0
Z001,2025-01-12,,168.0
Z001,2025-01-13,229.6056782783518,77.0
Z001,2025-01-14,394.1106222826555,151.0
Z001,2025-01-15,120.25076400514658,154.0
Z001,2025-01-16,255.61029831417852,54.0
Z001,2025-01-17,153.80940460366313,
Z001,2025-01-18,391.2029636229232,140.0
Z001,2025-01-19,133.99105141823927,
Z001,2025-01-20,221.08030070847735,
Z001,2025-01-21,321.36549545038184,139.0
Z001,2025-01-22,311.3663284082336,24.0
Z001,2025-01-23,226.81859106817967,90.0
Z001,2025-01-24,203.95725038581548,105.0
Z001,2025-01-25,219.28371356586118,114.0
Z001,2025-01-26,179.28287894759177,179.0
Z001,2025-01-27,161.59988161203995,60.0
Z001,2025-01-28,244.911909267667,
Z001,2025-01-29,,94.0
Z001,2025-01-30,186.23849946917505,187.0
Z001,2025-01-31,297.02681904236715,102.0
Z001,2025-02-01,390.56119950996765,57.0
Z001,2025-02-02,281.0911601678125,61.0
Z001,2025-02-03,123.09384011948988,184.0
Z001,2025-02-04,,75.0
Z001,2025-02-05,385.4269662536698,90.0
Z001,2025-02-06,189.1872370922001,74.0
Z001,2025-02-07,127.62009582474263,41.0
Z001,2025-02-08,279.71337614511447,
Z001,2025-02-09,287.0946334870798,124.0
Z001,2025-02-10,294.55144603560643,194.0
Z001,2025-02-11,180.2206083572624,57.0
Z001,2025-02-12,104.53320526434251,131.0
Z001,2025-02-13,389.50461083634156,58.0
Z001,2025-02-14,175.26791370733076,
Z001,2025-02-15,302.80788641576424,138.0
Z001,2025-02-16,311.98896096361284,79.0
Z001,2025-02-17,283.00222512384573,155.0
Z001,2025-02-18,193.87221826409447,63.0
Z001,2025-02-19,181.32887612921974,62.0
Z001,2025-02-20,279.30048481081093,153.0
Z001,2025-02-21,359.82869008350747,174.0
Z001,2025-02-22,384.0201186770187,192.0
Z001,2025-02-23,131.77174132112728,42.0
Z001,2025-02-24,146.44858377931595,141.0
Z001,2025-02-25,383.4208776349239,160.0
Z001,2025-02-26,320.9605685004378,103.0
Z001,2025-02-27,364.8981474489319,125.0
Z001,2025-02-28,160.78979024060294,83.0
Z001,2025-03-01,276.2757613328206,172.0
Z001,2025-03-02,310.3418783252421,144.0
Z001,2025-03-03,304.0335656340918,
Z001,2025-03-04,222.44550726000944,67.0
Z001,2025-03-05,104.61846750739254,80.0
Z001,2025-03-06,274.87781704127894,
Z001,2025-03-07,175.93046175388264,59.0
Z001,2025-03-08,235.0762738428671,94.0
Z001,2025-03-09,387.27430452514517,108.0
Z001,2025-03-10,219.71059529273043,88.0
Z001,2025-03-11,351.94048199932803,104.0
Z001,2025-03-12,156.56218172477534,45.0
Z001,2025-03-13,301.7381494075087,59.0
Z001,2025-03-14,393.10208633168304,115.0
Z001,2025-03-15,130.56793026188103,136.0
Z001,2025-03-16,102.49598266815761,155.0
Z001,2025-03-17,230.0748377897843,92.0
Z001,2025-03-18,127.78764491541016,64.0
Z001,2025-03-19,324.5153049028694,36.0
Z001,2025-03-20,374.36459915456766,188.0
Z001,2025-03-21,230.20629181262765,96.0
Z001,2025-03-22,177.61349264663227,156.0
Z001,2025-03-23,230.32099570198292,110.0
Z001,2025-03-24,317.0343453550003,125.0
Z001,2025-03-25,102.7162484741113,120.0
Z001,2025-03-26,276.8361968454092,
Z001,2025-03-27,283.98750546621375,43.0
Z001,2025-03-28,291.30647406878063,92.0
Z001,2025-03-29,172.60662399426315,140.0
Z001,2025-03-30,314.215817013438,125.0
Z001,2025-03-31,127.41744589953292,158.0
Z002,2025-01-01,159.78110094004023,54.0
Z002,2025-01-02,363.2410139963446,176.0
Z002,2025-01-03,321.61694521796994,155.0
Z002,2025-01-04,104.12366620340357,36.0
Z002,2025-01-05,174.51287811094005,
Z002,2025-01-06,164.32194489794938,112.0
Z002,2025-01-07,181.24189841109177,128.0
Z002,2025-01-08,174.26793108396592,
Z002,2025-01-09,118.75788872285372,133.0
Z002,2025-01-10,237.6821549790461,43.0
Z002,2025-01-11,319.82004243584953,56.0
Z002,2025-01-12,282.0195174152309,30.0
Z002,2025-01-13,,118.0
Z002,2025-01-14,124.34475356087174,74.0
Z002,2025-01-15,385.44721305303614,46.0
Z002,2025-01-16,351.54755015290743,86.0
Z002,2025-01-17,341.5270955486988,21.0
Z002,2025-01-18,346.89514151253024,87.0
Z002,2025-01-19,379.8131524398284,165.0
Z002,2025-01-20,263.27618983410935,167.0
Z002,2025-01-21,160.08460536028775,82.0
Z002,2025-01-22,285.03508235576237,91.0
Z002,2025-01-23,,149.0
Z002,2025-01-24,321.37521800620766,102.0
Z002,2025-01-25,256.43470725006404,61.0
Z002,2025-01-26,120.53761580007341,175.0
Z002,2025-01-27,211.33388152903836,176.0
Z002,2025-01-28,376.2299825390072,126.0
Z002,2025-01-29,275.3346729272278,47.0
