zone_id,date,event_count,event_type
Z001,2025-01-01,7.0,N
Z001,2025-01-02,1.0,N
Z001,2025-01-03,9.0,N
Z001,2025-01-04,0.0,
Z001,2025-01-05,4.0,N
Z001,2025-01-06,1.0,N
Z001,2025-01-07,2.0,N
Z001,2025-01-08,8.0,S
Z001,2025-01-09,2.0,N
Z001,2025-01-10,0.0,N
Z001,2025-01-11,,N
Z001,2025-01-12,1.0,N
Z001,2025-01-13,9.0,N
Z001,2025-01-14,5.0,N
Z001,2025-01-15,6.0,C
Z001,2025-01-16,8.0,N
Z001,2025-01-17,7.0,S
Z001,2025-01-18,5.0,N
Z001,2025-01-19,3.0,C
Z001,2025-01-20,3.0,N
Z001,2025-01-21,3.0,C
Z001,2025-01-22,9.0,C
Z001,2025-01-23,1.0,N
Z001,2025-01-24,6.0,N
Z001,2025-01-25,0.0,N
Z001,2025-01-26,4.0,N
Z001,2025-01-27,,N
Z001,2025-01-28,1.0,N
Z001,2025-01-29,8.0,N
Z001,2025-01-30,0.0,N
Z001,2025-01-31,3.0,N
Z001,2025-02-01,5.0,S
Z001,2025-02-02,3.0,N
Z001,2025-02-03,9.0,N
Z001,2025-02-04,9.0,C
Z001,2025-02-05,3.0,N
Z001,2025-02-06,1.0,N
Z001,2025-02-07,9.0,N
Z001,2025-02-08,8.0,C
Z001,2025-02-09,8.0,N
Z001,2025-02-10,0.0,N
Z001,2025-02-11,0.0,N
Z001,2025-02-12,7.0,N
Z001,2025-02-13,8.0,C
Z001,2025-02-14,2.0,C
Z001,2025-02-15,2.0,N
Z001,2025-02-16,1.0,N
Z001,2025-02-17,8.0,N
Z001,2025-02-18,1.0,N
Z001,2025-02-19,6.0,C
Z001,2025-02-20,1.0,C
Z001,2025-02-21,9.0,N
Z001,2025-02-22,,C
Z001,2025-02-23,5.0,N
Z001,2025-02-24,2.0,N
Z001,2025-02-25,0.0,C
Z001,2025-02-26,5.0,N
Z001,2025-02-27,1.0,C
Z001,2025-02-28,6.0,N
Z001,2025-03-01,8.0,C
Z001,2025-03-02,0.0,N
Z001,2025-03-03,,N
Z001,2025-03-04,4.0,N
Z001,2025-03-05,8.0,N
Z001,2025-03-06,2.0,N
Z001,2025-03-07,5.0,N
Z001,2025-03-08,,N
Z001,2025-03-09,4.0,N
Z001,2025-03-10,1.0,
Z001,2025-03-11,9.0,N
Z001,2025-03-12,4.0,N
Z001,2025-03-13,2.0,N
Z001,2025-03-14,1.0,C
Z001,2025-03-15,5.0,N
Z001,2025-03-16,0.0,C
Z001,2025-03-17,5.0,N
Z001,2025-03-18,7.0,N
Z001,2025-03-19,2.0,N
Z001,2025-03-20,9.0,C
Z001,2025-03-21,6.0,N
Z001,2025-03-22,2.0,N
Z001,2025-03-23,5.0,N
Z001,2025-03-24,6.0,
Z001,2025-03-25,2.0,N
Z001,2025-03-26,4.0,N
Z001,2025-03-27,2.0,S
Z001,2025-03-28,3.0,N
Z001,2025-03-29,4.0,N
Z001,2025-03-30,6.0,C
Z001,2025-03-31,3.0,
Z002,2025-01-01,3.0,N
Z002,2025-01-02,1.0,N
Z002,2025-01-03,4.0,N
