zone_id,date,tourist_visits
Z001,2025-01-01,354.0
Z001,2025-01-02,473.0
Z001,2025-01-03,350.0
Z001,2025-01-04,228.0
Z001,2025-01-05,251.0
Z001,2025-01-06,210.0
Z001,2025-01-07,570.0
Z001,2025-01-08,195.0
Z001,2025-01-09,673.0
Z001,2025-01-10,601.0
Z001,2025-01-11,261.0
Z001,2025-01-12,199.0
Z001,2025-01-13,432.0
Z001,2025-01-14,
Z001,2025-01-15,740.0
Z001,2025-01-16,570.0
Z001,2025-01-17,831.0
Z001,2025-01-18,471.0
Z001,2025-01-19,450.0
Z001,2025-01-20,901.0
Z001,2025-01-21,754.0
Z001,2025-01-22,679.0
Z001,2025-01-23,736.0
Z001,2025-01-24,204.0
Z001,2025-01-25,485.0
Z001,2025-01-26,430.0
Z001,2025-01-27,976.0
Z001,2025-01-28,879.0
Z001,2025-01-29,
Z001,2025-01-30,497.0
Z001,2025-01-31,35.0
Z001,2025-02-01,139.0
Z001,2025-02-02,798.0
Z001,2025-02-03,67.0
Z001,2025-02-04,362.0
Z001,2025-02-05,921.0
Z001,2025-02-06,396.0
Z001,2025-02-07,636.0
Z001,2025-02-08,168.0
Z001,2025-02-09,941.0
Z001,2025-02-10,183.0
Z001,2025-02-11,
Z001,2025-02-12,712.0
Z001,2025-02-13,780.0
Z001,2025-02-14,
Z001,2025-02-15,171.0
Z001,2025-02-16,901.0
Z001,2025-02-17,287.0
Z001,2025-02-18,433.0
Z001,2025-02-19,407.0
Z001,2025-02-20,
Z001,2025-02-21,147.0
Z001,2025-02-22,518.0
Z001,2025-02-23,200.0
Z001,2025-02-24,277.0
Z001,2025-02-25,289.0
Z001,2025-02-26,262.0
Z001,2025-02-27,887.0
Z001,2025-02-28,106.0
Z001,2025-03-01,973.0
Z001,2025-03-02,397.0
Z001,2025-03-03,529.0
Z001,2025-03-04,616.0
Z001,2025-03-05,566.0
Z001,2025-03-06,593.0
Z001,2025-03-07,212.0
Z001,2025-03-08,343.0
Z001,2025-03-09,420.0
Z001,2025-03-10,
Z001,2025-03-11,337.0
Z001,2025-03-12,198.0
Z001,2025-03-13,955.0
Z001,2025-03-14,911.0
Z001,2025-03-15,118.0
Z001,2025-03-16,796.0
Z001,2025-03-17,841.0
Z001,2025-03-18,639.0
Z001,2025-03-19,100.0
Z001,2025-03-20,934.0
Z001,2025-03-21,533.0
Z001,2025-03-22,269.0
Z001,2025-03-23,270.0
Z001,2025-03-24,601.0
Z001,2025-03-25,570.0
Z001,2025-03-26,0.0
Z001,2025-03-27,523.0
Z001,2025-03-28,174.0
Z001,2025-03-29,182.0
Z001,2025-03-30,383.0
Z001,2025-03-31,342.0
Z002,2025-01-01,746.0
Z002,2025-01-02,572.0
Z002,2025-01-03,198.0
Z002,2025-01-04,337.0
Z002,2025-01-05,423.0
Z002,2025-01-06,728.0
Z002,2025-01-07,411.0
Z002,2025-01-08,451.0
Z002,2025-01-09,22.0
Z002,2025-01-10,929.0
Z002,2025-01-11,385.0
Z002,2025-01-12,77.0
Z002,2025-01-13,651.0
Z002,2025-01-14,1.0
Z002,2025-01-15,678.0
Z002,2025-01-16,420.0
Z002,2025-01-17,671.0
Z002,2025-01-18,
Z002,2025-01-19,358.0
Z002,2025-01-20,365.0
Z002,2025-01-21,26.0
Z002,2025-01-22,756.0
Z002,2025-01-23,505.0
Z002,2025-01-24,38.0
Z002,2025-01-25,996.0
Z002,2025-01-26,298.0
Z002,2025-01-27,
Z002,2025-01-28,143.0
Z002,2025-01-29,750.0
Z002,2025-01-30,518.0
Z002,2025-01-31,943.0
Z002,2025-02-01,216.0
Z002,2025-02-02,909.0
Z002,2025-02-03,10.0
Z002,2025-02-04,74.0
Z002,2025-02-05,691.0
Z002,2025-02-06,746.0
Z002,2025-02-07,909.0
Z002,2025-02-08,230.0
Z002,2025-02-09,99.0
Z002,2025-02-10,168.0
Z002,2025-02-11,610.0
Z002,2025-02-12,712.0
Z002,2025-02-13,385.0
Z002,2025-02-14,98.0
Z002,2025-02-15,17.0
Z002,2025-02-16,769.0
Z002,2025-02-17,525.0
Z002,2025-02-18,259.0
Z002,2025-02-19,912.0
Z002,2025-02-20,796.0
Z002,2025-02-21,434.0
Z002,2025-02-22,626.0
Z002,2025-02-23,91.0
Z002,2025-02-24,879.0
Z002,2025-02-25,902.0
Z002,2025-02-26,720.0
Z002,2025-02-27,924.0
Z002,2025-02-28,607.0
Z002,2025-03-01,714.0
Z002,2025-03-02,239.0
Z002,2025-03-03,674.0
Z002,2025-03-04,931.0
Z002,2025-03-05,560.0
Z002,2025-03-06,853.0
Z002,2025-03-07,900.0
Z002,2025-03-08,361.0
Z002,2025-03-09,480.0
Z002,2025-03-10,
Z002,2025-03-11,378.0
Z002,2025-03-12,
Z002,2025-03-13,6.0
Z002,2025-03-14,733.0
Z002,2025-03-15,571.0
Z002,2025-03-16,750.0
Z002,2025-03-17,773.0
Z002,2025-03-18,286.0
Z002,2025-03-19,45.0
Z002,2025-03-20,756.0
Z002,2025-03-21,499.0
Z002,2025-03-22,277.0
Z002,2025-03-23,460.0
Z002,2025-03-24,317.0
Z002,2025-03-25,837.0
Z002,2025-03-26,297.0
Z002,2025-03-27,949.0
Z002,2025-03-28,625.0
Z002,2025-03-29,141.0
Z002,2025-03-30,706.0
Z002,2025-03-31,539.0
Z003,2025-01-01,150.0
Z003,2025-01-02,230.0
Z003,2025-01-03,674.0
Z003,2025-01-04,638.0
Z003,2025-01-05,376.0
Z003,2025-01-06,930.0
Z003,2025-01-07,969.0
Z003,2025-01-08,408.0
Z003,2025-01-09,223.0
Z003,2025-01-10,
Z003,2025-01-11,784.0
Z003,2025-01-12,946.0
Z003,2025-01-13,27.0
Z003,2025-01-14,
Z003,2025-01-15,279.0
Z003,2025-01-16,436.0
Z003,2025-01-17,410.0
Z003,2025-01-18,846.0
Z003,2025-01-19,874.0
Z003,2025-01-20,427.0
Z003,2025-01-21,602.0
Z003,2025-01-22,559.0
Z003,2025-01-23,
Z003,2025-01-24,354.0
Z003,2025-01-25,179.0
Z003,2025-01-26,349.0
Z003,2025-01-27,635.0
Z003,2025-01-28,
Z003,2025-01-29,483.0
Z003,2025-01-30,719.0
Z003,2025-01-31,388.0
Z003,2025-02-01,451.0
Z003,2025-02-02,47.0
Z003,2025-02-03,589.0
Z003,2025-02-04,132.0
Z003,2025-02-05,457.0
Z003,2025-02-06,243.0
Z003,2025-02-07,376.0
Z003,2025-02-08,891.0
Z003,2025-02-09,488.0
Z003,2025-02-10,751.0
Z003,2025-02-11,941.0
Z003,2025-02-12,522.0
Z003,2025-02-13,
Z003,2025-02-14,277.0
Z003,2025-02-15,12.0
Z003,2025-02-16,424.0
Z003,2025-02-17,445.0
Z003,2025-02-18,366.0
Z003,2025-02-19,677.0
Z003,2025-02-20,664.0
Z003,2025-02-21,330.0
Z003,2025-02-22,250.0
Z003,2025-02-23,
Z003,2025-02-24,539.0
Z003,2025-02-25,852.0
Z003,2025-02-26,392.0
Z003,2025-02-27,249.0
Z003,2025-02-28,581.0
Z003,2025-03-01,913.0
Z003,2025-03-02,860.0
Z003,2025-03-03,665.0
Z003,2025-03-04,933.0
Z003,2025-03-05,750.0
Z003,2025-03-06,527.0
Z003,2025-03-07,378.0
Z003,2025-03-08,583.0
Z003,2025-03-09,429.0
Z003,2025-03-10,
Z003,2025-03-11,598.0
Z003,2025-03-12,874.0
Z003,2025-03-13,303.0
Z003,2025-03-14,30.0
Z003,2025-03-15,642.0
Z003,2025-03-16,271.0
Z003,2025-03-17,268.0
Z003,2025-03-18,
Z003,2025-03-19,196.0
Z003,2025-03-20,23.0
Z003,2025-03-21,116.0
Z003,2025-03-22,584.0
Z003,2025-03-23,78.0
