zone_id,date,bike_availability
Z001,2025-01-01,120.0
Z001,2025-01-02,
Z001,2025-01-03,171.0
Z001,2025-01-04,158.0
Z001,2025-01-05,196.0
Z001,2025-01-06,66.0
Z001,2025-01-07,49.0
Z001,2025-01-08,111.0
Z001,2025-01-09,
Z001,2025-01-10,86.0
Z001,2025-01-11,91.0
Z001,2025-01-12,29.0
Z001,2025-01-13,72.0
Z001,2025-01-14,96.0
Z001,2025-01-15,118.0
Z001,2025-01-16,
Z001,2025-01-17,44.0
Z001,2025-01-18,107.0
Z001,2025-01-19,53.0
Z001,2025-01-20,190.0
Z001,2025-01-21,106.0
Z001,2025-01-22,72.0
Z001,2025-01-23,103.0
Z001,2025-01-24,97.0
Z001,2025-01-25,180.0
Z001,2025-01-26,38.0
Z001,2025-01-27,128.0
Z001,2025-01-28,12.0
Z001,2025-01-29,153.0
Z001,2025-01-30,11.0
Z001,2025-01-31,69.0
Z001,2025-02-01,131.0
Z001,2025-02-02,147.0
Z001,2025-02-03,142.0
Z001,2025-02-04,5.0
Z001,2025-02-05,110.0
Z001,2025-02-06,182.0
Z001,2025-02-07,21.0
Z001,2025-02-08,36.0
Z001,2025-02-09,74.0
Z001,2025-02-10,41.0
Z001,2025-02-11,48.0
Z001,2025-02-12,15.0
Z001,2025-02-13,21.0
Z001,2025-02-14,164.0
Z001,2025-02-15,84.0
Z001,2025-02-16,190.0
Z001,2025-02-17,91.0
Z001,2025-02-18,63.0
Z001,2025-02-19,142.0
Z001,2025-02-20,
Z001,2025-02-21,70.0
Z001,2025-02-22,182.0
Z001,2025-02-23,199.0
Z001,2025-02-24,44.0
Z001,2025-02-25,137.0
Z001,2025-02-26,51.0
Z001,2025-02-27,124.0
Z001,2025-02-28,104.0
Z001,2025-03-01,174.0
Z001,2025-03-02,184.0
Z001,2025-03-03,121.0
Z001,2025-03-04,194.0
Z001,2025-03-05,13.0
Z001,2025-03-06,172.0
Z001,2025-03-07,65.0
Z001,2025-03-08,78.0
Z001,2025-03-09,168.0
Z001,2025-03-10,26.0
Z001,2025-03-11,24.0
Z001,2025-03-12,20.0
Z001,2025-03-13,24.0
Z001,2025-03-14,83.0
Z001,2025-03-15,11.0
Z001,2025-03-16,110.0
Z001,2025-03-17,65.0
Z001,2025-03-18,146.0
Z001,2025-03-19,159.0
Z001,2025-03-20,
Z001,2025-03-21,139.0
Z001,2025-03-22,114.0
Z001,2025-03-23,4.0
Z001,2025-03-24,40.0
Z001,2025-03-25,163.0
Z001,2025-03-26,10.0
Z001,2025-03-27,57.0
Z001,2025-03-28,26.0
Z001,2025-03-29,76.0
Z001,2025-03-30,154.0
Z001,2025-03-31,94.0
Z002,2025-01-01,63.0
Z002,2025-01-02,191.0
Z002,2025-01-03,120.0
Z002,2025-01-04,30.0
Z002,2025-01-05,179.0
Z002,2025-01-06,112.0
Z002,2025-01-07,105.0
Z002,2025-01-08,122.0
Z002,2025-01-09,11.0
Z002,2025-01-10,39.0
Z002,2025-01-11,81.0
Z002,2025-01-12,131.0
Z002,2025-01-13,179.0
Z002,2025-01-14,8.0
Z002,2025-01-15,70.0
Z002,2025-01-16,176.0
Z002,2025-01-17,132.0
Z002,2025-01-18,58.0
Z002,2025-01-19,98.0
Z002,2025-01-20,24.0
Z002,2025-01-21,77.0
Z002,2025-01-22,
Z002,2025-01-23,76.0
Z002,2025-01-24,7.0
Z002,2025-01-25,32.0
Z002,2025-01-26,194.0
Z002,2025-01-27,184.0
Z002,2025-01-28,42.0
Z002,2025-01-29,46.0
Z002,2025-01-30,174.0
Z002,2025-01-31,103.0
Z002,2025-02-01,145.0
Z002,2025-02-02,190.0
Z002,2025-02-03,153.0
Z002,2025-02-04,103.0
Z002,2025-02-05,81.0
Z002,2025-02-06,131.0
Z002,2025-02-07,43.0
Z002,2025-02-08,60.0
Z002,2025-02-09,74.0
Z002,2025-02-10,123.0
Z002,2025-02-11,96.0
Z002,2025-02-12,169.0
Z002,2025-02-13,58.0
Z002,2025-02-14,17.0
Z002,2025-02-15,149.0
Z002,2025-02-16,118.0
Z002,2025-02-17,62.0
Z002,2025-02-18,24.0
Z002,2025-02-19,11.0
Z002,2025-02-20,52.0
Z002,2025-02-21,11.0
Z002,2025-02-22,148.0
Z002,2025-02-23,171.0
Z002,2025-02-24,99.0
Z002,2025-02-25,43.0
Z002,2025-02-26,138.0
Z002,2025-02-27,170.0
Z002,2025-02-28,50.0
Z002,2025-03-01,166.0
Z002,2025-03-02,109.0
Z002,2025-03-03,121.0
Z002,2025-03-04,51.0
Z002,2025-03-05,55.0
Z002,2025-03-06,122.0
Z002,2025-03-07,105.0
Z002,2025-03-08,45.0
Z002,2025-03-09,30.0
Z002,2025-03-10,114.0
Z002,2025-03-11,95.0
Z002,2025-03-12,133.0
Z002,2025-03-13,67.0
Z002,2025-03-14,5.0
Z002,2025-03-15,183.0
Z002,2025-03-16,170.0
Z002,2025-03-17,190.0
Z002,2025-03-18,108.0
Z002,2025-03-19,164.0
Z002,2025-03-20,92.0
Z002,2025-03-21,131.0
Z002,2025-03-22,195.0
Z002,2025-03-23,12.0
Z002,2025-03-24,53.0
Z002,2025-03-25,3.0
Z002,2025-03-26,108.0
Z002,2025-03-27,142.0
Z002,2025-03-28,171.0
Z002,2025-03-29,50.0
Z002,2025-03-30,132.0
Z002,2025-03-31,173.0
Z003,2025-01-01,
Z003,2025-01-02,104.0
Z003,2025-01-03,10.0
Z003,2025-01-04,81.0
Z003,2025-01-05,0.0
Z003,2025-01-06,161.0
Z003,2025-01-07,190.0
Z003,2025-01-08,
Z003,2025-01-09,14.0
Z003,2025-01-10,50.0
Z003,2025-01-11,124.0
Z003,2025-01-12,197.0
Z003,2025-01-13,163.0
Z003,2025-01-14,47.0
Z003,2025-01-15,
Z003,2025-01-16,27.0
Z003,2025-01-17,125.0
Z003,2025-01-18,113.0
Z003,2025-01-19,176.0
Z003,2025-01-20,56.0
Z003,2025-01-21,99.0
Z003,2025-01-22,57.0
Z003,2025-01-23,125.0
Z003,2025-01-24,79.0
Z003,2025-01-25,178.0
Z003,2025-01-26,116.0
Z003,2025-01-27,68.0
Z003,2025-01-28,173.0
Z003,2025-01-29,152.0
Z003,2025-01-30,82.0
Z003,2025-01-31,13.0
Z003,2025-02-01,161.0
Z003,2025-02-02,158.0
Z003,2025-02-03,116.0
Z003,2025-02-04,51.0
Z003,2025-02-05,29.0
Z003,2025-02-06,60.0
Z003,2025-02-07,126.0
Z003,2025-02-08,161.0
Z003,2025-02-09,172.0
Z003,2025-02-10,108.0
Z003,2025-02-11,19.0
Z003,2025-02-12,159.0
Z003,2025-02-13,66.0
Z003,2025-02-14,37.0
Z003,2025-02-15,
Z003,2025-02-16,154.0
Z003,2025-02-17,
Z003,2025-02-18,122.0
Z003,2025-02-19,103.0
Z003,2025-02-20,116.0
Z003,2025-02-21,148.0
Z003,2025-02-22,65.0
Z003,2025-02-23,92.0
Z003,2025-02-24,173.0
Z003,2025-02-25,143.0
Z003,2025-02-26,68.0
Z003,2025-02-27,155.0
Z003,2025-02-28,60.0
Z003,2025-03-01,161.0
Z003,2025-03-02,185.0
Z003,2025-03-03,34.0
Z003,2025-03-04,106.0
Z003,2025-03-05,80.0
Z003,2025-03-06,167.0
Z003,2025-03-07,92.0
Z003,2025-03-08,156.0
Z003,2025-03-09,38.0
Z003,2025-03-10,164.0
Z003,2025-03-11,141.0
Z003,2025-03-12,31.0
Z003,2025-03-13,22.0
Z003,2025-03-14,143.0
Z003,2025-03-15,10.0
Z003,2025-03-16,55.0
Z003,2025-03-17,66.0
Z003,2025-03-18,
Z003,2025-03-19,12.0
Z003,2025-03-20,115.0
Z003,2025-03-21,170.0
Z003,2025-03-22,71.0
Z003,2025-03-23,134.0
Z003,2025-03-24,76.0
Z003,2025-03-25,191.0
Z003,2025-03-26,186.0
Z003,2025-03-27,42.0
Z003,2025-03-28,95.0
Z003,2025-03-29,
Z003,2025-03-30,45.0
Z003,2025-03-31,167.0
Z004,2025-01-01,157.0
Z004,2025-01-02,43.0
Z004,2025-01-03,108.0
Z004,2025-01-04,175.0
Z004,2025-01-05,179.0
Z004,2025-01-06,104.0
Z004,2025-01-07,122.0
Z004,2025-01-08,15.0
Z004,2025-01-09,173.0
Z004,2025-01-10,181.0
