zone_id,date,parking_capacity
Z001,2025-01-01,839.0
Z001,2025-01-02,351.0
Z001,2025-01-03,515.0
Z001,2025-01-04,372.0
Z001,2025-01-05,940.0
Z001,2025-01-06,777.0
Z001,2025-01-07,595.0
Z001,2025-01-08,974.0
Z001,2025-01-09,172.0
Z001,2025-01-10,217.0
Z001,2025-01-11,492.0
Z001,2025-01-12,903.0
Z001,2025-01-13,866.0
Z001,2025-01-14,
Z001,2025-01-15,578.0
Z001,2025-01-16,348.0
Z001,2025-01-17,489.0
Z001,2025-01-18,591.0
Z001,2025-01-19,163.0
Z001,2025-01-20,605.0
Z001,2025-01-21,961.0
Z001,2025-01-22,950.0
Z001,2025-01-23,220.0
Z001,2025-01-24,664.0
Z001,2025-01-25,774.0
Z001,2025-01-26,894.0
Z001,2025-01-27,566.0
Z001,2025-01-28,791.0
Z001,2025-01-29,316.0
Z001,2025-01-30,200.0
Z001,2025-01-31,111.0
Z001,2025-02-01,142.0
Z001,2025-02-02,900.0
Z001,2025-02-03,816.0
Z001,2025-02-04,953.0
Z001,2025-02-05,635.0
Z001,2025-02-06,926.0
Z001,2025-02-07,469.0
Z001,2025-02-08,583.0
Z001,2025-02-09,444.0
Z001,2025-02-10,
Z001,2025-02-11,760.0
Z001,2025-02-12,833.0
Z001,2025-02-13,612.0
Z001,2025-02-14,327.0
Z001,2025-02-15,259.0
Z001,2025-02-16,369.0
Z001,2025-02-17,625.0
Z001,2025-02-18,321.0
Z001,2025-02-19,524.0
Z001,2025-02-20,136.0
Z001,2025-02-21,156.0
Z001,2025-02-22,273.0
Z001,2025-02-23,874.0
Z001,2025-02-24,231.0
Z001,2025-02-25,954.0
Z001,2025-02-26,187.0
Z001,2025-02-27,107.0
Z001,2025-02-28,684.0
Z001,2025-03-01,257.0
Z001,2025-03-02,370.0
Z001,2025-03-03,230.0
Z001,2025-03-04,613.0
Z001,2025-03-05,955.0
Z001,2025-03-06,654.0
Z001,2025-03-07,749.0
Z001,2025-03-08,653.0
Z001,2025-03-09,560.0
Z001,2025-03-10,354.0
Z001,2025-03-11,702.0
Z001,2025-03-12,355.0
Z001,2025-03-13,498.0
Z001,2025-03-14,900.0
Z001,2025-03-15,542.0
Z001,2025-03-16,905.0
Z001,2025-03-17,801.0
Z001,2025-03-18,347.0
Z001,2025-03-19,829.0
Z001,2025-03-20,281.0
Z001,2025-03-21,617.0
Z001,2025-03-22,607.0
Z001,2025-03-23,317.0
Z001,2025-03-24,406.0
Z001,2025-03-25,
Z001,2025-03-26,895.0
Z001,2025-03-27,852.0
Z001,2025-03-28,660.0
Z001,2025-03-29,940.0
Z001,2025-03-30,589.0
Z001,2025-03-31,
Z002,2025-01-01,573.0
Z002,2025-01-02,624.0
Z002,2025-01-03,819.0
Z002,2025-01-04,105.0
Z002,2025-01-05,210.0
Z002,2025-01-06,734.0
Z002,2025-01-07,339.0
Z002,2025-01-08,182.0
Z002,2025-01-09,119.0
Z002,2025-01-10,152.0
Z002,2025-01-11,786.0
Z002,2025-01-12,649.0
Z002,2025-01-13,499.0
Z002,2025-01-14,600.0
Z002,2025-01-15,859.0
Z002,2025-01-16,761.0
Z002,2025-01-17,612.0
Z002,2025-01-18,432.0
Z002,2025-01-19,237.0
Z002,2025-01-20,105.0
Z002,2025-01-21,899.0
Z002,2025-01-22,902.0
Z002,2025-01-23,614.0
Z002,2025-01-24,687.0
Z002,2025-01-25,235.0
Z002,2025-01-26,
Z002,2025-01-27,358.0
Z002,2025-01-28,375.0
Z002,2025-01-29,153.0
Z002,2025-01-30,444.0
Z002,2025-01-31,882.0
Z002,2025-02-01,959.0
Z002,2025-02-02,949.0
Z002,2025-02-03,937.0
Z002,2025-02-04,598.0
Z002,2025-02-05,855.0
Z002,2025-02-06,155.0
Z002,2025-02-07,
Z002,2025-02-08,845.0
Z002,2025-02-09,539.0
Z002,2025-02-10,423.0
Z002,2025-02-11,847.0
Z002,2025-02-12,763.0
Z002,2025-02-13,120.0
Z002,2025-02-14,364.0
Z002,2025-02-15,869.0
Z002,2025-02-16,383.0
Z002,2025-02-17,712.0
Z002,2025-02-18,892.0
Z002,2025-02-19,122.0
Z002,2025-02-20,336.0
Z002,2025-02-21,871.0
Z002,2025-02-22,783.0
Z002,2025-02-23,326.0
Z002,2025-02-24,116.0
Z002,2025-02-25,258.0
Z002,2025-02-26,114.0
Z002,2025-02-27,595.0
Z002,2025-02-28,997.0
Z002,2025-03-01,965.0
Z002,2025-03-02,198.0
Z002,2025-03-03,416.0
Z002,2025-03-04,
Z002,2025-03-05,903.0
Z002,2025-03-06,940.0
Z002,2025-03-07,103.0
Z002,2025-03-08,931.0
Z002,2025-03-09,891.0
Z002,2025-03-10,
Z002,2025-03-11,607.0
Z002,2025-03-12,919.0
Z002,2025-03-13,563.0
Z002,2025-03-14,551.0
Z002,2025-03-15,678.0
Z002,2025-03-16,317.0
Z002,2025-03-17,646.0
Z002,2025-03-18,947.0
Z002,2025-03-19,832.0
Z002,2025-03-20,721.0
Z002,2025-03-21,947.0
Z002,2025-03-22,583.0
Z002,2025-03-23,833.0
Z002,2025-03-24,858.0
Z002,2025-03-25,737.0
Z002,2025-03-26,
Z002,2025-03-27,592.0
Z002,2025-03-28,402.0
Z002,2025-03-29,762.0
Z002,2025-03-30,190.0
Z002,2025-03-31,657.0
Z003,2025-01-01,403.0
Z003,2025-01-02,380.0
Z003,2025-01-03,777.0
Z003,2025-01-04,737.0
Z003,2025-01-05,104.0
Z003,2025-01-06,862.0
Z003,2025-01-07,407.0
Z003,2025-01-08,106.0
Z003,2025-01-09,512.0
Z003,2025-01-10,798.0
Z003,2025-01-11,943.0
Z003,2025-01-12,202.0
Z003,2025-01-13,451.0
Z003,2025-01-14,728.0
Z003,2025-01-15,344.0
Z003,2025-01-16,908.0
Z003,2025-01-17,960.0
Z003,2025-01-18,534.0
Z003,2025-01-19,909.0
Z003,2025-01-20,735.0
Z003,2025-01-21,
Z003,2025-01-22,412.0
Z003,2025-01-23,
Z003,2025-01-24,186.0
Z003,2025-01-25,
Z003,2025-01-26,751.0
Z003,2025-01-27,942.0
Z003,2025-01-28,658.0
Z003,2025-01-29,147.0
Z003,2025-01-30,581.0
Z003,2025-01-31,212.0
Z003,2025-02-01,176.0
Z003,2025-02-02,
Z003,2025-02-03,383.0
Z003,2025-02-04,130.0
Z003,2025-02-05,729.0
Z003,2025-02-06,711.0
Z003,2025-02-07,393.0
Z003,2025-02-08,
Z003,2025-02-09,806.0
Z003,2025-02-10,201.0
Z003,2025-02-11,
Z003,2025-02-12,981.0
Z003,2025-02-13,888.0
Z003,2025-02-14,185.0
Z003,2025-02-15,537.0
Z003,2025-02-16,616.0
Z003,2025-02-17,485.0
Z003,2025-02-18,230.0
Z003,2025-02-19,855.0
Z003,2025-02-20,814.0
Z003,2025-02-21,291.0
Z003,2025-02-22,981.0
Z003,2025-02-23,785.0
Z003,2025-02-24,166.0
Z003,2025-02-25,397.0
Z003,2025-02-26,191.0
Z003,2025-02-27,771.0
Z003,2025-02-28,978.0
Z003,2025-03-01,280.0
Z003,2025-03-02,292.0
Z003,2025-03-03,636.0
Z003,2025-03-04,670.0
Z003,2025-03-05,966.0
Z003,2025-03-06,263.0
Z003,2025-03-07,779.0
Z003,2025-03-08,786.0
Z003,2025-03-09,702.0
Z003,2025-03-10,107.0
Z003,2025-03-11,180.0
Z003,2025-03-12,457.0
Z003,2025-03-13,808.0
Z003,2025-03-14,243.0
Z003,2025-03-15,
Z003,2025-03-16,837.0
Z003,2025-03-17,874.0
Z003,2025-03-18,
Z003,2025-03-19,760.0
Z003,2025-03-20,638.0
Z003,2025-03-21,549.0
Z003,2025-03-22,666.0
Z003,2025-03-23,260.0
Z003,2025-03-24,656.0
Z003,2025-03-25,317.0
Z003,2025-03-26,
Z003,2025-03-27,835.0
Z003,2025-03-28,658.0
Z003,2025-03-29,568.0
Z003,2025-03-30,721.0
Z003,2025-03-31,702.0
Z004,2025-01-01,937.0
Z004,2025-01-02,620.0
Z004,2025-01-03,936.0
Z004,2025-01-04,362.0
Z004,2025-01-05,932.0
Z004,2025-01-06,228.0
Z004,2025-01-07,180.0
Z004,2025-01-08,948.0
Z004,2025-01-09,102.0
Z004,2025-01-10,792.0
Z004,2025-01-11,613.0
Z004,2025-01-12,
Z004,2025-01-13,559.0
Z004,2025-01-14,258.0
Z004,2025-01-15,448.0
Z004,2025-01-16,669.0
Z004,2025-01-17,512.0
Z004,2025-01-18,217.0
Z004,2025-01-19,577.0
Z004,2025-01-20,362.0
Z004,2025-01-21,743.0
Z004,2025-01-22,960.0
Z004,2025-01-23,693.0
Z004,2025-01-24,243.0
Z004,2025-01-25,643.0
Z004,2025-01-26,867.0
Z004,2025-01-27,526.0
Z004,2025-01-28,500.0
Z004,2025-01-29,771.0
Z004,2025-01-30,530.0
Z004,2025-01-31,705.0
Z004,2025-02-01,833.0
Z004,2025-02-02,562.0
Z004,2025-02-03,507.0
Z004,2025-02-04,427.0
Z004,2025-02-05,711.0
Z004,2025-02-06,496.0
Z004,2025-02-07,398.0
Z004,2025-02-08,792.0
Z004,2025-02-09,684.0
Z004,2025-02-10,569.0
Z004,2025-02-11,606.0
Z004,2025-02-12,331.0
Z004,2025-02-13,342.0
Z004,2025-02-14,114.0
Z004,2025-02-15,
Z004,2025-02-16,486.0
Z004,2025-02-17,533.0
Z004,2025-02-18,
Z004,2025-02-19,283.0
Z004,2025-02-20,412.0
Z004,2025-02-21,669.0
Z004,2025-02-22,995.0
Z004,2025-02-23,265.0
Z004,2025-02-24,601.0
Z004,2025-02-25,885.0
Z004,2025-02-26,514.0
Z004,2025-02-27,894.0
Z004,2025-02-28,589.0
Z004,2025-03-01,708.0
Z004,2025-03-02,289.0
Z004,2025-03-03,790.0
Z004,2025-03-04,562.0
Z004,2025-03-05,353.0
Z004,2025-03-06,172.0
Z004,2025-03-07,697.0
Z004,2025-03-08,405.0
Z004,2025-03-09,732.0
Z004,2025-03-10,689.0
Z004,2025-03-11,259.0
Z004,2025-03-12,700.0
Z004,2025-03-13,846.0
Z004,2025-03-14,103.0
Z004,2025-03-15,352.0
Z004,2025-03-16,836.0
Z004,2025-03-17,981.0
Z004,2025-03-18,554.0
Z004,2025-03-19,130.0
Z004,2025-03-20,346.0
Z004,2025-03-21,389.0
Z004,2025-03-22,448.0
Z004,2025-03-23,640.0
Z004,2025-03-24,124.0
Z004,2025-03-25,282.0
Z004,2025-03-26,622.0
Z004,2025-03-27,321.0
Z004,2025-03-28,260.0
Z004,2025-03-29,558.0
Z004,2025-03-30,312.0
Z004,2025-03-31,442.0
Z005,2025-01-01,853.0
Z005,2025-01-02,843.0
Z005,2025-01-03,779.0
Z005,2025-01-04,504.0
Z005,2025-01-05,162.0
Z005,2025-01-06,804.0
Z005,2025-01-07,367.0
Z005,2025-01-08,720.0
Z005,2025-01-09,618.0
Z005,2025-01-10,387.0
Z005,2025-01-11,454.0
Z005,2025-01-12,235.0
Z005,2025-01-13,369.0
Z005,2025-01-14,994.0
Z005,2025-01-15,814.0
Z005,2025-01-16,
Z005,2025-01-17,783.0
Z005,2025-01-18,219.0
Z005,2025-01-19,621.0
Z005,2025-01-20,693.0
Z005,2025-01-21,311.0
Z005,2025-01-22,790.0
Z005,2025-01-23,963.0
Z005,2025-01-24,318.0
Z005,2025-01-25,749.0
Z005,2025-01-26,757.0
Z005,2025-01-27,764.0
Z005,2025-01-28,597.0
Z005,2025-01-29,379.0
Z005,2025-01-30,
Z005,2025-01-31,301.0
Z005,2025-02-01,153.0
Z005,2025-02-02,781.0
Z005,2025-02-03,827.0
Z005,2025-02-04,315.0
Z005,2025-02-05,581.0
Z005,2025-02-06,923.0
