iter	Passed	Remaining
0	1	2445
1	4	2800
2	6	2641
3	7	2491
4	9	2431
5	11	2495
6	13	2494
7	15	2496
8	17	2478
9	19	2565
10	21	2577
11	23	2555
12	25	2554
13	27	2530
14	28	2510
15	30	2499
16	32	2487
17	34	2515
18	36	2517
19	39	2526
20	40	2519
21	42	2498
22	44	2480
23	45	2459
24	47	2448
25	49	2443
26	51	2462
27	53	2457
28	55	2449
29	56	2439
30	58	2429
31	60	2422
32	62	2415
33	63	2409
34	66	2426
35	68	2421
36	69	2411
37	71	2401
38	73	2394
39	75	2392
40	76	2383
41	78	2373
42	80	2365
43	82	2375
44	84	2372
45	85	2364
46	87	2354
47	88	2344
48	90	2341
49	92	2334
50	93	2326
51	95	2322
52	98	2336
53	100	2334
54	101	2331
55	103	2327
56	105	2321
57	107	2320
58	108	2316
59	110	2310
60	112	2316
61	114	2318
62	116	2310
63	117	2304
64	119	2303
65	121	2299
66	123	2295
67	124	2289
68	126	2283
69	129	2302
70	131	2307
71	134	2314
72	136	2315
73	137	2312
74	139	2304
75	141	2299
76	143	2297
77	145	2303
78	147	2300
79	148	2295
80	150	2290
81	152	2287
82	153	2281
83	155	2276
84	157	2273
85	158	2268
86	161	2276
87	163	2271
88	164	2269
89	166	2264
90	168	2259
91	170	2258
92	171	2255
93	173	2253
94	175	2248
95	177	2252
96	179	2250
97	181	2249
98	183	2246
99	184	2242
100	186	2239
101	188	2238
102	190	2237
103	192	2239
104	194	2237
105	196	2234
106	197	2230
107	199	2225
108	201	2222
109	202	2218
110	204	2215
111	206	2212
112	208	2215
113	210	2214
114	212	2211
115	213	2208
116	215	2205
117	217	2203
118	219	2202
119	220	2198
120	222	2194
121	224	2198
122	226	2196
123	228	2194
124	230	2192
125	232	2190
126	233	2186
127	235	2184
128	238	2189
129	240	2187
130	242	2187
131	243	2184
132	245	2181
133	247	2177
134	249	2174
135	250	2172
136	253	2175
137	254	2173
138	256	2170
139	258	2168
140	260	2167
141	262	2163
142	264	2162
143	265	2159
144	267	2157
145	269	2158
146	271	2156
147	273	2153
148	274	2149
149	276	2148
150	278	2145
151	280	2144
152	282	2141
153	284	2143
154	286	2140
155	288	2138
156	289	2135
157	291	2131
158	293	2128
159	294	2125
160	296	2121
161	297	2118
162	299	2118
163	302	2118
164	303	2116
165	305	2113
166	307	2110
167	309	2108
168	310	2106
169	312	2103
170	314	2100
171	316	2101
172	318	2098
173	319	2096
174	321	2093
175	323	2091
176	325	2087
177	326	2085
178	328	2082
179	329	2078
180	332	2079
181	334	2078
182	335	2075
183	337	2075
184	339	2072
185	341	2070
186	343	2068
187	344	2065
188	346	2061
189	348	2064
190	350	2060
