zone_id,date,trips_thousands
Z029,2025-02-24,291.2236414736045
Z084,2025-01-27,295.24478552352065
Z103,2025-01-31,312.2337426632691
Z061,2025-02-26,296.01068005763204
Z009,2025-01-17,262.21014341534993
Z131,2025-03-12,304.51008787098795
Z010,2025-02-16,259.4319824103209
Z081,2025-03-15,288.0363226006874
Z128,2025-03-11,241.1462578365088
Z129,2025-03-27,268.51548615528077
Z191,2025-02-06,310.3416604048173
Z172,2025-01-08,286.98376640410663
Z130,2025-02-28,316.86456179042807
Z084,2025-03-11,296.91887990860545
Z030,2025-01-13,297.85826741201606
Z116,2025-03-08,290.54772224834716
Z071,2025-03-25,369.76359653116265
Z066,2025-02-14,323.47560813720514
Z056,2025-01-24,284.32547131434967
Z115,2025-02-22,337.7064935669709
Z151,2025-02-21,326.00652838422945
Z006,2025-01-01,362.66055476645283
Z095,2025-01-28,298.82062411058854
Z048,2025-03-27,284.6284193165762
Z026,2025-01-17,315.9440194552911
Z115,2025-03-19,310.68074012607764
Z161,2025-03-03,334.53054960833805
Z200,2025-01-19,330.0219447486903
Z136,2025-01-27,316.2305738018057
Z166,2025-01-11,309.514667623993
Z076,2025-01-29,270.70540977233384
Z093,2025-02-26,345.6269262830598
Z180,2025-01-18,353.46974786643733
Z023,2025-02-11,287.70264171632857
Z169,2025-03-10,302.1714217190708
Z108,2025-03-29,279.95980959243224
Z076,2025-02-24,299.1788625484355
Z166,2025-01-04,311.12658994818065
Z130,2025-03-14,304.59826503737156
Z083,2025-02-24,269.1415300123466
Z046,2025-03-11,308.82645629613745
Z041,2025-01-09,335.1519594119546
Z108,2025-03-20,278.88599559931714
Z047,2025-02-19,320.37689474505964
Z100,2025-02-11,312.65658867146897
Z136,2025-01-20,297.9305449736255
Z050,2025-01-01,230.8226921406587
Z004,2025-02-13,333.57554115025425
Z088,2025-01-11,242.321985114597
Z083,2025-01-12,292.73979979190216
Z065,2025-02-10,341.97817323230436
Z019,2025-01-05,355.5807684254132
Z155,2025-02-15,288.4574688751882
Z197,2025-02-25,295.5065316112467
Z174,2025-02-10,273.5959547469059
Z155,2025-03-14,248.36998284361175
Z033,2025-01-30,306.6255533957169
Z086,2025-02-16,337.1793112435918
Z013,2025-01-08,311.71442549946346
Z148,2025-03-14,274.1500933030652
Z061,2025-03-07,292.67753636678003
Z166,2025-03-04,338.2349941744397
Z097,2025-01-22,307.2455353803799
Z136,2025-03-03,305.11065694925935
Z017,2025-01-11,270.499299085964
Z194,2025-02-02,316.4686563099309
Z164,2025-02-07,318.1441512456973
Z087,2025-03-05,336.91343788730325
Z075,2025-03-07,297.58494816652916
Z040,2025-01-23,272.61312693347054
Z066,2025-03-08,308.41209170380523
Z118,2025-01-20,353.05455587501217
Z075,2025-02-13,267.3814133854277
Z056,2025-02-11,291.4989026857278
Z096,2025-02-03,301.1978738326646
Z051,2025-01-26,344.72353166354264
Z109,2025-02-20,269.90050207054446
Z056,2025-02-25,282.3859087968231
Z084,2025-02-17,305.96142599375787
Z180,2025-02-08,328.5950571736016
Z153,2025-01-15,267.47409376509523
Z091,2025-02-02,321.6934595390271
Z165,2025-01-28,227.65665088572524
Z012,2025-02-14,296.92919649691487
Z009,2025-01-14,255.45229999162228
Z048,2025-02-19,300.6598241532067
Z146,2025-02-19,319.40396205670606
Z113,2025-01-28,299.12954739338477
Z054,2025-02-24,308.5043961418888
Z086,2025-01-27,313.7416370944253
Z089,2025-03-03,332.2818331656631
Z045,2025-01-19,317.8216516277197
Z069,2025-02-23,360.0244811453451
Z121,2025-03-06,309.0652102900803
Z199,2025-01-17,311.1484436276172
Z185,2025-02-15,305.18084172184456
Z133,2025-01-21,295.3345658063945
Z197,2025-02-13,281.2135770327189
Z077,2025-01-09,270.935615796447
Z072,2025-01-19,276.2606486556543
Z089,2025-01-29,299.9056321474911
Z049,2025-03-13,284.5188680978076
Z171,2025-01-09,293.7601072359781
Z067,2025-02-28,306.0079097708179
Z189,2025-03-29,304.67746152645736
Z155,2025-03-27,265.28984289370953
Z032,2025-01-18,307.94717774356934
Z173,2025-01-14,335.2763112131234
Z013,2025-01-07,311.5630462270636
Z097,2025-02-17,288.01654436482823
Z184,2025-02-06,300.6387451956904
Z109,2025-01-05,260.8285973590023
Z152,2025-03-03,253.6655638387797
Z133,2025-03-02,298.9084933739542
Z092,2025-03-05,260.40133290601716
Z170,2025-02-28,268.7737383585754
Z091,2025-02-11,285.1594400686529
Z181,2025-03-10,312.47654730402957
Z157,2025-02-27,323.86374185770524
Z054,2025-03-19,286.5088365888331
Z186,2025-03-20,265.4805068377482
Z200,2025-03-06,306.8798208972932
Z133,2025-01-28,305.64566379124574
Z163,2025-03-11,344.05076558706935
Z164,2025-02-08,299.88760665028866
Z008,2025-01-06,347.13031105465393
Z041,2025-03-26,335.7335991125286
Z179,2025-03-20,325.3727442828541
Z143,2025-01-19,292.2010534667377
Z149,2025-03-22,343.36888774812445
Z161,2025-03-30,316.93815928122797
Z112,2025-02-16,314.85136050808677
Z003,2025-01-21,245.97402841995734
Z195,2025-03-21,296.7406444239639
Z187,2025-01-03,273.24666982227143
Z028,2025-03-30,327.2610554862514
Z040,2025-02-07,264.00270804524877
Z025,2025-03-14,281.4864833183787
Z132,2025-02-27,293.66460204865984
Z126,2025-03-31,360.28393003058005
Z079,2025-02-25,240.46104482486282
Z069,2025-02-07,324.77035253401937
Z054,2025-02-12,333.61161040708953
Z020,2025-01-04,319.8495883968174
Z174,2025-02-11,303.7444384443195
Z040,2025-03-03,267.57905713542306
Z062,2025-02-15,314.3990826516176
Z038,2025-03-22,354.6537341310558
Z113,2025-01-21,311.71562602962945
Z064,2025-03-08,286.41346775078887
Z015,2025-01-02,289.3442276943584
Z087,2025-03-11,300.2098882852583
Z110,2025-01-25,304.20043792244775
Z140,2025-03-05,285.5354188609897
Z041,2025-01-04,334.6408544190567
Z148,2025-02-02,293.44579272904434
Z093,2025-01-03,331.03511571534636
Z159,2025-02-25,299.1609305718663
Z035,2025-03-07,303.6796544356579
Z085,2025-02-25,285.65874711168215
Z064,2025-02-25,290.23988297397506
Z139,2025-03-06,262.3114590212047
Z187,2025-01-23,275.90757536136545
Z145,2025-01-14,283.06779532493385
Z004,2025-01-21,295.8929494149499
Z051,2025-01-19,312.42667045138563
Z144,2025-03-02,291.3628647489164
Z189,2025-02-03,317.01002865788337
Z130,2025-01-21,302.68636543789887
Z159,2025-02-14,292.6706811956398
Z051,2025-01-07,304.6937473145075
Z107,2025-01-27,313.17151002418393
Z065,2025-02-02,317.274105475728
Z074,2025-03-21,284.68290444106725
Z032,2025-01-31,325.11059926724744
Z088,2025-03-20,261.2748302330623
Z057,2025-02-13,295.5970426314984
Z041,2025-02-26,339.58240001641934
Z013,2025-03-06,293.3441930904121
Z002,2025-01-14,254.25109575186133
Z141,2025-01-21,275.3339021204256
Z103,2025-02-24,326.7623399646553
Z089,2025-01-01,300.18953166891094
Z030,2025-03-08,322.3122732254959
Z016,2025-01-06,287.77309946770436
Z002,2025-01-12,290.52424768138565
Z116,2025-01-03,334.27953366618874
Z035,2025-01-20,325.1605250877644
Z044,2025-02-03,376.1133902832213
Z132,2025-02-12,298.26392540659947
Z110,2025-02-05,316.847022434313
Z137,2025-03-17,264.50994319648044
Z146,2025-02-18,306.66966098254807
Z141,2025-03-06,269.0703592147669
Z088,2025-03-26,247.67763460451002
Z197,2025-01-07,270.5893725241332
Z097,2025-03-05,314.7481712701264
Z090,2025-01-21,256.93196471233614
Z077,2025-02-21,316.4169815096599
